,asset_id,lat,lon,Parent Name,asset_type,country,work_intensity,year,median,minimum,maximum,scenario,AC_penetration
32,48_SIEMENS-ENERGY-AG,45.7971375,16.0106631,Siemens Energy AG,INDUSTRIAL,Croatia,high,2020,0.08,0.06,0.13,ssp585,0.4699999988079071
33,50_SIEMENS-ENERGY-AG,53.376486,-6.270562,Siemens Energy AG,INDUSTRIAL,Ireland,high,2020,0.0,0.0,0.0,ssp585,0.3799999952316284
34,51_SIEMENS-ENERGY-AG,49.4233396,11.0849063,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
35,53_SIEMENS-ENERGY-AG,12.7595088,101.1124406,Siemens Energy AG,INDUSTRIAL,Thailand,high,2020,6.31,5.32,6.79,ssp585,0.12999999523162842
36,56_SIEMENS-ENERGY-AG,10.3983776,-61.4761998,Siemens Energy AG,INDUSTRIAL,Trinidad and Tobago,high,2020,2.09,1.9,2.44,ssp585,0.2199999988079071
37,57_SIEMENS-ENERGY-AG,47.8375888,13.061903,Siemens Energy AG,INDUSTRIAL,Austria,high,2020,0.01,0.01,0.02,ssp585,0.2199999988079071
38,58_SIEMENS-ENERGY-AG,34.1184089,-84.226994,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.14,0.1,0.22,ssp585,0.7799999713897705
39,59_SIEMENS-ENERGY-AG,42.1565155,-77.0912882,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.05,0.02,0.07,ssp585,0.4000000059604645
40,61_SIEMENS-ENERGY-AG,10.4844919,-66.8304357,Siemens Energy AG,INDUSTRIAL,"Venezuela, Bolivarian Republic of",high,2020,0.86,0.63,0.94,ssp585,0.28999999165534973
41,62_SIEMENS-ENERGY-AG,26.2635209,49.9463515,Siemens Energy AG,INDUSTRIAL,Saudi Arabia,high,2020,4.54,3.7,5.7,ssp585,0.38999998569488525
42,63_SIEMENS-ENERGY-AG,24.4212258,54.4974331,Siemens Energy AG,INDUSTRIAL,United Arab Emirates,high,2020,12.43,11.45,13.66,ssp585,
43,68_SIEMENS-ENERGY-AG,-21.83721694,-41.04198255,Siemens Energy AG,OIL_GAS_POWER_PLANT,Brazil,high,2020,0.68,0.55,0.85,ssp585,0.1599999964237213
44,69_SIEMENS-ENERGY-AG,41.1661905,15.1063048,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.03,0.02,0.04,ssp585,0.5600000023841858
45,70_SIEMENS-ENERGY-AG,37.9677985,13.7958626,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.04,0.03,0.07,ssp585,0.6399999856948853
46,71_SIEMENS-ENERGY-AG,44.4163539,9.2085017,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.01,0.01,0.02,ssp585,
47,72_SIEMENS-ENERGY-AG,41.4800802,15.559547,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.18,0.13,0.25,ssp585,0.5699999928474426
48,73_SIEMENS-ENERGY-AG,-17.517395,-63.1146278,Siemens Energy AG,INDUSTRIAL,"Bolivia, Plurinational State of",high,2020,3.06,2.88,3.32,ssp585,0.05000000074505806
49,74_SIEMENS-ENERGY-AG,-31.422281,-64.181502,Siemens Energy AG,INDUSTRIAL,Argentina,high,2020,0.16,0.1,0.18,ssp585,0.5
50,75_SIEMENS-ENERGY-AG,52.2994649,13.2798714,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.12999999523162842
51,76_SIEMENS-ENERGY-AG,39.1604033,-84.4449454,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.06,0.04,0.11,ssp585,0.8299999833106995
52,77_SIEMENS-ENERGY-AG,40.4607649,-3.578082,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.03,0.03,0.04,ssp585,0.6299999952316284
53,78_SIEMENS-ENERGY-AG,40.544937,-3.6354646,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.05,0.03,0.05,ssp585,0.5299999713897705
54,80_SIEMENS-ENERGY-AG,40.4348001,-3.5439773,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.03,0.03,0.04,ssp585,0.6299999952316284
55,83_SIEMENS-ENERGY-AG,4.8197034,-74.3600094,Siemens Energy AG,INDUSTRIAL,Colombia,high,2020,0.0,0.0,0.0,ssp585,0.2199999988079071
56,84_SIEMENS-ENERGY-AG,18.4697095,-69.9391633,Siemens Energy AG,INDUSTRIAL,Dominican Republic,high,2020,3.16,2.74,3.67,ssp585,
57,85_SIEMENS-ENERGY-AG,20.6157432,-100.4234471,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,0.01,0.01,0.02,ssp585,0.550000011920929
58,86_SIEMENS-ENERGY-AG,-34.5597551,-58.5738734,Siemens Energy AG,INDUSTRIAL,Argentina,high,2020,0.09,0.07,0.15,ssp585,0.5199999809265137
59,87_SIEMENS-ENERGY-AG,24.9023371,66.9999815,Siemens Energy AG,INDUSTRIAL,Pakistan,high,2020,5.82,5.27,7.22,ssp585,
60,89_SIEMENS-ENERGY-AG,45.7031252,12.3620438,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.17,0.1,0.22,ssp585,0.30000001192092896
61,90_SIEMENS-ENERGY-AG,35.7298311,51.4242047,Siemens Energy AG,INDUSTRIAL,"Iran, Islamic Republic of",high,2020,0.0,0.0,0.01,ssp585,0.5
62,91_SIEMENS-ENERGY-AG,47.531784,19.1514605,Siemens Energy AG,INDUSTRIAL,Hungary,high,2020,0.07,0.05,0.1,ssp585,0.3100000023841858
63,92_SIEMENS-ENERGY-AG,-32.7586784,-60.7336736,Siemens Energy AG,INDUSTRIAL,Argentina,high,2020,0.45,0.35,0.55,ssp585,0.2199999988079071
64,93_SIEMENS-ENERGY-AG,38.8776537,16.4832835,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.01,0.01,0.02,ssp585,0.6700000166893005
65,95_SIEMENS-ENERGY-AG,24.8717574,46.6000522,Siemens Energy AG,INDUSTRIAL,Saudi Arabia,high,2020,0.49,0.37,0.6,ssp585,0.6000000238418579
66,96_SIEMENS-ENERGY-AG,53.6991779,-0.8936199,Siemens Energy AG,INDUSTRIAL,United Kingdom,high,2020,0.0,0.0,0.01,ssp585,0.1899999976158142
67,98_SIEMENS-ENERGY-AG,33.0083316,-85.0632583,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.48,0.37,0.7,ssp585,0.44999998807907104
68,99_SIEMENS-ENERGY-AG,42.2214194,-71.765467,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.05,0.03,0.06,ssp585,0.6399999856948853
69,100_SIEMENS-ENERGY-AG,41.6473724,-73.9423431,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.08,0.04,0.1,ssp585,0.6600000262260437
70,102_SIEMENS-ENERGY-AG,48.5695808,2.450901,Siemens Energy AG,INDUSTRIAL,France,high,2020,0.02,0.02,0.04,ssp585,0.25
71,103_SIEMENS-ENERGY-AG,50.8850294,4.4612945,Siemens Energy AG,INDUSTRIAL,Belgium,high,2020,0.01,0.01,0.02,ssp585,0.3400000035762787
72,104_SIEMENS-ENERGY-AG,41.3656526,2.1362061,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.12,0.08,0.16,ssp585,
73,105_SIEMENS-ENERGY-AG,52.1581485,7.244188,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.11999999731779099
74,110_SIEMENS-ENERGY-AG,40.4554578,-3.5000131,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.03,0.03,0.04,ssp585,0.6299999952316284
75,112_SIEMENS-ENERGY-AG,42.8658034,-2.6594931,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.01,0.01,0.03,ssp585,0.30000001192092896
76,113_SIEMENS-ENERGY-AG,19.1621388,-96.2437658,Siemens Energy AG,INDUSTRIAL,Mexico,high,2020,4.04,3.61,4.83,ssp585,0.27000001072883606
77,114_SIEMENS-ENERGY-AG,43.294615,-2.8628922,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.02,0.01,0.03,ssp585,0.1599999964237213
78,115_SIEMENS-ENERGY-AG,39.0774591,117.0700132,Siemens Energy AG,INDUSTRIAL,China,high,2020,0.33,0.26,0.45,ssp585,0.6399999856948853
79,116_SIEMENS-ENERGY-AG,42.9905776,-4.1405515,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.01,0.0,0.01,ssp585,0.30000001192092896
80,117_SIEMENS-ENERGY-AG,10.798323,78.309416,Siemens Energy AG,INDUSTRIAL,India,high,2020,6.29,5.83,6.95,ssp585,0.07000000029802322
81,118_SIEMENS-ENERGY-AG,43.28853,-2.8593411,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.02,0.01,0.03,ssp585,0.1599999964237213
82,120_SIEMENS-ENERGY-AG,-26.2720936,28.1868817,Siemens Energy AG,INDUSTRIAL,South Africa,high,2020,0.01,0.01,0.01,ssp585,0.6399999856948853
83,121_SIEMENS-ENERGY-AG,12.7696818,77.6414028,Siemens Energy AG,INDUSTRIAL,India,high,2020,0.52,0.45,0.62,ssp585,0.07999999821186066
84,122_SIEMENS-ENERGY-AG,32.2488937,-90.1600646,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.64,0.57,0.95,ssp585,0.550000011920929
85,123_SIEMENS-ENERGY-AG,19.8785275,75.4884456,Siemens Energy AG,INDUSTRIAL,India,high,2020,1.35,1.26,1.62,ssp585,0.20000000298023224
86,128_SIEMENS-ENERGY-AG,59.937977,10.837374,Siemens Energy AG,INDUSTRIAL,Norway,high,2020,0.0,0.0,0.0,ssp585,0.3799999952316284
87,132_SIEMENS-ENERGY-AG,13.1823478,80.1931884,Siemens Energy AG,INDUSTRIAL,India,high,2020,6.13,5.35,6.66,ssp585,0.12999999523162842
88,136_SIEMENS-ENERGY-AG,55.8345676,-4.0327331,Siemens Energy AG,INDUSTRIAL,United Kingdom,high,2020,0.0,0.0,0.0,ssp585,0.23999999463558197
89,137_SIEMENS-ENERGY-AG,22.8071503,69.55259,Siemens Energy AG,INDUSTRIAL,India,high,2020,3.69,3.57,4.85,ssp585,
90,139_SIEMENS-ENERGY-AG,14.6369375,79.9786719,Siemens Energy AG,INDUSTRIAL,India,high,2020,6.37,5.88,6.92,ssp585,0.20000000298023224
91,142_SIEMENS-ENERGY-AG,26.1943728,71.2978299,Siemens Energy AG,INDUSTRIAL,India,high,2020,5.4,4.75,5.76,ssp585,0.1899999976158142
92,143_SIEMENS-ENERGY-AG,22.5420688,73.4384786,Siemens Energy AG,INDUSTRIAL,India,high,2020,4.29,3.68,4.91,ssp585,0.25999999046325684
93,145_SIEMENS-ENERGY-AG,53.5540366,10.0216247,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.02,ssp585,0.11999999731779099
94,146_SIEMENS-ENERGY-AG,9.1409151,77.7152453,Siemens Energy AG,INDUSTRIAL,India,high,2020,9.01,8.05,9.95,ssp585,0.05999999865889549
95,147_SIEMENS-ENERGY-AG,51.2276079,2.9342891,Siemens Energy AG,INDUSTRIAL,Belgium,high,2020,0.0,0.0,0.01,ssp585,
96,148_SIEMENS-ENERGY-AG,55.9557848,9.1213348,Siemens Energy AG,INDUSTRIAL,Denmark,high,2020,0.0,0.0,0.0,ssp585,0.12999999523162842
97,149_SIEMENS-ENERGY-AG,43.2920535,-2.8604982,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.02,0.01,0.03,ssp585,0.1599999964237213
98,150_SIEMENS-ENERGY-AG,42.8163618,-1.5995035,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.02,0.02,0.04,ssp585,0.25
99,151_SIEMENS-ENERGY-AG,49.7617269,0.3689479,Siemens Energy AG,INDUSTRIAL,France,high,2020,0.0,0.0,0.0,ssp585,
100,153_SIEMENS-ENERGY-AG,51.1248833,4.4575634,Siemens Energy AG,INDUSTRIAL,Belgium,high,2020,0.01,0.01,0.02,ssp585,0.3499999940395355
101,154_SIEMENS-ENERGY-AG,50.2925836,5.3550194,Siemens Energy AG,INDUSTRIAL,Belgium,high,2020,0.01,0.01,0.02,ssp585,0.18000000715255737
102,156_SIEMENS-ENERGY-AG,40.0162446,-105.2813233,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.0,0.0,0.0,ssp585,0.5899999737739563
103,160_SIEMENS-ENERGY-AG,48.6494158,-2.0174649,Siemens Energy AG,INDUSTRIAL,France,high,2020,0.0,0.0,0.0,ssp585,
104,162_SIEMENS-ENERGY-AG,40.142191,-74.9606708,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.06,0.04,0.09,ssp585,0.8299999833106995
105,163_SIEMENS-ENERGY-AG,22.0017108,71.2207714,Siemens Energy AG,INDUSTRIAL,India,high,2020,3.11,2.75,3.66,ssp585,0.25999999046325684
106,164_SIEMENS-ENERGY-AG,12.603539,79.9230653,Siemens Energy AG,WAREHOUSE,India,high,2020,6.07,5.26,6.4,ssp585,0.10000000149011612
107,165_SIEMENS-ENERGY-AG,23.0905402,70.814092,Siemens Energy AG,INDUSTRIAL,India,high,2020,5.53,4.73,6.14,ssp585,0.23999999463558197
108,166_SIEMENS-ENERGY-AG,14.233491,76.4049254,Siemens Energy AG,INDUSTRIAL,India,high,2020,1.22,0.97,1.44,ssp585,0.029999999329447746
109,167_SIEMENS-ENERGY-AG,45.5112934,9.2389542,Siemens Energy AG,INDUSTRIAL,Italy,high,2020,0.14,0.1,0.19,ssp585,0.36000001430511475
110,168_SIEMENS-ENERGY-AG,16.1672643,76.7861473,Siemens Energy AG,INDUSTRIAL,India,high,2020,3.21,2.78,3.83,ssp585,0.07000000029802322
111,169_SIEMENS-ENERGY-AG,38.0364264,-97.8793236,Siemens Energy AG,INDUSTRIAL,United States,high,2020,0.51,0.36,0.82,ssp585,0.4300000071525574
112,171_SIEMENS-ENERGY-AG,57.0412937,10.0309989,Siemens Energy AG,INDUSTRIAL,Denmark,high,2020,0.0,0.0,0.0,ssp585,0.25999999046325684
113,172_SIEMENS-ENERGY-AG,57.7664319,14.1008031,Siemens Energy AG,INDUSTRIAL,Sweden,high,2020,0.0,0.0,0.0,ssp585,0.25999999046325684
114,173_SIEMENS-ENERGY-AG,57.0430821,10.0338576,Siemens Energy AG,INDUSTRIAL,Denmark,high,2020,0.0,0.0,0.0,ssp585,0.25999999046325684
115,175_SIEMENS-ENERGY-AG,54.8433527,-5.8580221,Siemens Energy AG,INDUSTRIAL,United Kingdom,high,2020,0.0,0.0,0.0,ssp585,0.3199999928474426
116,176_SIEMENS-ENERGY-AG,42.8305994,-1.6853371,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.03,0.02,0.04,ssp585,0.25
117,177_SIEMENS-ENERGY-AG,40.5609147,-8.6118131,Siemens Energy AG,INDUSTRIAL,Portugal,high,2020,0.06,0.05,0.14,ssp585,
118,178_SIEMENS-ENERGY-AG,42.9104322,-8.5143623,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.01,0.01,0.03,ssp585,0.2800000011920929
119,179_SIEMENS-ENERGY-AG,8.9865095,77.9522191,Siemens Energy AG,INDUSTRIAL,India,high,2020,10.2,8.88,11.0,ssp585,0.03999999910593033
120,180_SIEMENS-ENERGY-AG,52.2303401,5.4607341,Siemens Energy AG,INDUSTRIAL,Netherlands,high,2020,0.01,0.01,0.02,ssp585,0.23999999463558197
121,181_SIEMENS-ENERGY-AG,48.937046,10.2101535,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.02,ssp585,0.10000000149011612
122,182_SIEMENS-ENERGY-AG,15.3618721,75.1551645,Siemens Energy AG,INDUSTRIAL,India,high,2020,1.3,1.03,1.45,ssp585,0.029999999329447746
123,185_SIEMENS-ENERGY-AG,61.7537691,16.1554973,Siemens Energy AG,INDUSTRIAL,Sweden,high,2020,0.0,0.0,0.0,ssp585,0.3100000023841858
124,187_SIEMENS-ENERGY-AG,50.8109957,6.1669486,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.02,ssp585,0.12999999523162842
125,189_SIEMENS-ENERGY-AG,51.6082326,7.3916027,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.12999999523162842
126,194_SIEMENS-ENERGY-AG,53.5614268,6.7528508,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.0,0.0,0.0,ssp585,
127,195_SIEMENS-ENERGY-AG,54.29919,9.71625,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.0,0.01,ssp585,0.11999999731779099
128,199_SIEMENS-ENERGY-AG,8.9139197,77.7077938,Siemens Energy AG,INDUSTRIAL,India,high,2020,8.97,7.9,9.89,ssp585,0.03999999910593033
129,200_SIEMENS-ENERGY-AG,42.8105316,-1.711415,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.03,0.02,0.04,ssp585,0.25
130,201_SIEMENS-ENERGY-AG,33.5974601,-7.6657331,Siemens Energy AG,INDUSTRIAL,Morocco,high,2020,0.28,0.12,0.38,ssp585,
131,203_SIEMENS-ENERGY-AG,-33.4054446,-70.5766403,Siemens Energy AG,INDUSTRIAL,Chile,high,2020,0.0,0.0,0.0,ssp585,0.550000011920929
132,204_SIEMENS-ENERGY-AG,40.7149038,-8.2107199,Siemens Energy AG,INDUSTRIAL,Portugal,high,2020,0.02,0.02,0.06,ssp585,0.33000001311302185
133,205_SIEMENS-ENERGY-AG,41.8462615,-1.9380359,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.01,0.01,0.01,ssp585,0.3799999952316284
134,206_SIEMENS-ENERGY-AG,41.318406,-4.9039685,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.02,0.01,0.02,ssp585,0.49000000953674316
135,207_SIEMENS-ENERGY-AG,37.0494545,-4.8758573,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.04,0.04,0.06,ssp585,0.6800000071525574
136,208_SIEMENS-ENERGY-AG,39.5492511,-0.4645471,Siemens Energy AG,INDUSTRIAL,Spain,high,2020,0.15,0.13,0.2,ssp585,0.46000000834465027
137,212_SIEMENS-ENERGY-AG,53.0351898,8.8848143,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
138,213_SIEMENS-ENERGY-AG,52.5145245,9.73331,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.10000000149011612
139,214_SIEMENS-ENERGY-AG,35.7594651,-5.8339543,Siemens Energy AG,INDUSTRIAL,Morocco,high,2020,0.14,0.08,0.2,ssp585,0.4099999964237213
140,219_SIEMENS-ENERGY-AG,-5.9991673,106.0178131,Siemens Energy AG,INDUSTRIAL,Indonesia,high,2020,4.08,3.64,4.57,ssp585,
141,221_SIEMENS-ENERGY-AG,51.1467461,14.9708557,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.15000000596046448
142,225_SIEMENS-ENERGY-AG,51.0749416,13.6894697,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.02,ssp585,0.17000000178813934
143,226_SIEMENS-ENERGY-AG,49.6878892,11.0594565,Siemens Energy AG,WAREHOUSE,Germany,high,2020,0.02,0.01,0.03,ssp585,0.10999999940395355
144,228_SIEMENS-ENERGY-AG,52.5280681,13.3240915,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
145,235_SIEMENS-ENERGY-AG,52.5548265,7.3219051,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.03,ssp585,0.09000000357627869
146,237_SIEMENS-ENERGY-AG,49.2461485,6.9338612,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.03,ssp585,0.30000001192092896
147,242_SIEMENS-ENERGY-AG,22.235579,73.178035,Siemens Energy AG,INDUSTRIAL,India,high,2020,4.76,4.2,5.53,ssp585,0.27000001072883606
148,247_SIEMENS-ENERGY-AG,52.251333,21.059809,Siemens Energy AG,ENERGY,Poland,high,2020,0.01,0.01,0.04,ssp585,0.4000000059604645
149,251_SIEMENS-ENERGY-AG,40.5989876,-3.7179328,Siemens Energy AG,ENERGY,Spain,high,2020,0.05,0.03,0.05,ssp585,0.5299999713897705
150,258_SIEMENS-ENERGY-AG,26.2726303,49.9495068,Siemens Energy AG,MANUFACTURING,Saudi Arabia,high,2020,4.54,3.7,5.7,ssp585,0.38999998569488525
151,264_SIEMENS-ENERGY-AG,57.1269846,-2.0948014,Siemens Energy AG,INDUSTRIAL,United Kingdom,high,2020,0.0,0.0,0.0,ssp585,0.3700000047683716
152,272_SIEMENS-ENERGY-AG,57.2117006,-2.2007114,Siemens Energy AG,INDUSTRIAL,United Kingdom,high,2020,0.0,0.0,0.0,ssp585,0.3700000047683716
153,274_SIEMENS-ENERGY-AG,55.866753,-3.531879,Siemens Energy AG,WAREHOUSE,United Kingdom,high,2020,0.0,0.0,0.0,ssp585,0.20000000298023224
154,276_SIEMENS-ENERGY-AG,52.5548265,7.3219051,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.01,0.01,0.03,ssp585,0.09000000357627869
155,278_SIEMENS-ENERGY-AG,51.0749416,13.6894697,Siemens Energy AG,MANUFACTURING,Germany,high,2020,0.01,0.01,0.02,ssp585,0.17000000178813934
156,281_SIEMENS-ENERGY-AG,52.5317549,13.3232621,Siemens Energy AG,INDUSTRIAL,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
157,284_SIEMENS-ENERGY-AG,52.1640033,5.3486921,Siemens Energy AG,INDUSTRIAL,Netherlands,high,2020,0.01,0.01,0.02,ssp585,0.23999999463558197
158,285_SIEMENS-ENERGY-AG,52.5316579,13.2793311,Siemens Energy AG,MANUFACTURING,Germany,high,2020,0.02,0.01,0.03,ssp585,0.14000000059604645
